topic,title,text,cluster,id_hash,vector
Marketing,Einfluss von Social Media auf das Kaufverhalten von Konsumenten,"Diese Arbeit untersucht den Einfluss von Social Media auf das Kaufverhalten von Konsumenten. In einer digitalisierten Welt spielen soziale Medien eine immer größere Rolle bei der Beeinflussung von Konsumentscheidungen. Durch eine Kombination aus Literaturrecherche und empirischen Studien wird gezeigt, wie Plattformen wie Facebook, Instagram und Twitter das Kaufverhalten durch gezielte Werbung und Influencer-Marketing beeinflussen. Die Ergebnisse deuten darauf hin, dass Social Media erheblich zum Aufbau von Markenbewusstsein und Kundenbindung beiträgt. Empfehlungen für Unternehmen werden gegeben, wie sie ihre Social- Media-Strategien verbessern können, um den Konsumenten besser zu erreichen.",3,91a8e3bab9ff73db82baab3d9fbcf5551658ea08ee571e16087f85c7082eaa92,"[0.2940257041887858, 0.3687580691728565, 0.00041438598788020355, 0.37335280606328675, -0.0961381308306951, 0.005598438747991762, -0.05419774487149026, 0.04943060927921563, 0.06410630199650533, 0.04939241919514477, 0.1307000476674572, -0.02087905817880532, -0.08495160952752882, -0.005130668580916373, -0.05349096033206281, -0.07178206009510563, 0.07303717909452723, 0.02045374750620446, -0.007737800005729887, 0.09558940904563387, 0.07754973577774445, 0.0023916158345784733, 0.030757849589937162, -0.04457639459320719, 0.038566413912557634]"
Marketing,Green Marketing: Strategien und Verbraucherwahrnehmung,"In dieser Arbeit wird das Konzept des Green Marketing untersucht und wie es von Verbrauchern wahrgenommen wird. Angesichts wachsender Umweltbedenken und Nachhaltigkeitstrends setzen immer mehr Unternehmen auf grüne Marketingstrategien. Durch eine umfassende Literaturrecherche und Fallstudien werden verschiedene Strategien analysiert und deren Wirksamkeit bewertet. Es wird festgestellt, dass Verbraucher zunehmend umweltbewusstere Produkte bevorzugen, wobei Transparenz und Authentizität der Unternehmen entscheidend sind. Abschließend werden Empfehlungen für die Implementierung erfolgreicher Green-Marketing-Strategien gegeben.",5,3732733bd362e098fb08eac4dc94f09fe06f47093710626635d6c131d3c2f796,"[0.2516618589367434, -0.004079911354865495, 0.05965218636393985, 0.022081049242243186, -0.03642022330136046, -0.0018518207358236825, -0.06614769489392679, -0.020662174728781936, 0.006096485240736087, -0.036621176615937175, 0.17608598228378808, 0.02097397570286856, -0.076812127632438, 0.02141683603050681, -0.08158555100848437, 0.02026240567589544, 0.020675090593291468, -0.02119927828981278, 0.04591942536708508, 0.05111956937892272, 0.04172937342805274, -0.03903600171815951, 0.029868302644222935, -0.04201338452764526, 0.006775825244888327]"
Marketing,Die Rolle von Influencern im modernen Marketing,"Diese Bachelorarbeit untersucht die Rolle von Influencern im modernen Marketing und wie sie die Werbelandschaft verändert haben. Anhand von Literaturrecherchen und Fallstudien werden die Mechanismen und Strategien von Influencer-Marketing analysiert. Es wird aufgezeigt, wie Influencer durch ihre Authentizität und Reichweite das Konsumverhalten beeinflussen und eine starke Markenbindung scha en können. Die Arbeit schließt mit Empfehlungen für Unternehmen, wie sie e ektive Influencer-Kampagnen entwickeln und die richtigen Influencer für ihre Marken auswählen können.",5,3f2484961b1f18764db0789fe27aa10deb2350e4e9faef7058ee8a8980fccea4,"[0.3355660483490567, 0.016013867442286056, 0.0034933082492789196, 0.11067442589006432, -0.22375227477505316, -0.09469458997621787, -0.2536149581353299, -0.06461098098861102, 0.10124231937749165, -0.11072072039033776, 0.33394824294653863, 0.049419507375506766, -0.1358025133950954, 0.10430949069294307, -0.23336018208787304, -0.007058170635465604, 0.25696723418604966, -0.17361196735386514, 0.3212860860121613, 0.33086435864051245, 0.14107269024405025, -0.04762504516978943, -0.04249572493132669, -0.02580381596454834, 0.07736468031554028]"
Personalwesen,Künstliche Intelligenz im Personalwesen,"Diese Arbeit beleuchtet den Einsatz von künstlicher Intelligenz (KI) im Personalwesen und ihre Auswirkungen auf HR-Prozesse. KI-Technologien wie Chatbots, automatisierte Bewerberauswahl und Datenanalyse revolutionieren das HR-Management. Durch eine Kombination aus Literaturrecherche und Fallstudien wird gezeigt, wie KI zur E izienzsteigerung und Verbesserung der Bewerbererfahrung beitragen kann. Es werden jedoch auch Herausforderungen wie Datenschutz und ethische Implikationen diskutiert. Die Arbeit schließt mit Empfehlungen für die Implementierung von KI im Personalwesen unter Berücksichtigung der technologischen und ethischen Aspekte.",6,5bc6094cbe646986d232c59bfa18987b65d17eece51032c14bbd881d53b04a9d,"[0.34289061123938896, -0.1865247464103551, -0.23980164956291344, 0.11046279923916627, 0.12524442034469532, -0.11923395909459379, -0.01438622149461321, 0.1684022322319486, -0.16739972382190482, 0.0029274180448105817, 0.07465710519084233, -0.08851310599521463, 0.1474018672202701, 0.0027156131056270873, -0.1268537228882955, -0.13337889923190988, 0.10062456341950506, -0.01739872561488525, -0.05131317558473773, 0.01790273898315691, -0.007155136079298361, -0.12320765501303163, -0.04880087457633232, 0.0015478387097522103, 0.0480258433313267]"
Personalwesen,Bedeutung von emotionaler Intelligenz in der Führung,"Diese Bachelorarbeit untersucht die Bedeutung emotionaler Intelligenz in der Führung und wie sie zur E ektivität von Führungskräften beiträgt. Anhand von Literaturrecherchen und empirischen Studien wird die Rolle emotionaler Intelligenz bei der Mitarbeiterführung, Konfliktlösung und Entscheidungsfindung analysiert. Es wird gezeigt, dass Führungskräfte mit hoher emotionaler Intelligenz besser in der Lage sind, ein positives Arbeitsklima zu scha en und die Motivation und Zufriedenheit ihrer Mitarbeiter zu steigern. Abschließend werden Trainingsmethoden zur Förderung emotionaler Intelligenz in Führungskräften vorgestellt.",5,b23a876e16dbdde48403adcc0d7c8df69595ebafe81b60d5d67c22cac9d23a87,"[0.26465432454646903, 0.0225679517502825, -0.0024650771165683743, -0.026570419600940004, -0.042126980320458404, -0.04863673210797047, -0.038510859639515255, -0.04099024537203331, -0.039342615413843325, -0.004256858918299092, 0.17327325945870736, -0.055153563936128955, 0.20444309058174293, 0.053863593956529156, -0.052852342949904874, -0.21538423505824367, -0.015775117044105, 0.021442614878908983, -0.1219000419764791, -0.20095240628569674, 0.015778835697310024, -0.12231002429684908, -0.06367990195607011, -0.06337364698515104, -0.1038391917024438]"
Personalwesen,Remote Work: Auswirkungen auf Produktivität und Arbeitszufriedenheit,"Diese Arbeit analysiert die Auswirkungen von Remote Work auf die Produktivität und Arbeitszufriedenheit von Mitarbeitern. Mit der zunehmenden Verbreitung von Telearbeit durch technologische Fortschritte und die COVID-19-Pandemie wird Remote Work immer relevanter. Durch eine Kombination aus Literaturrecherche und empirischen Untersuchungen werden sowohl positive als auch negative Aspekte von Remote Work beleuchtet. Die Ergebnisse zeigen, dass Remote Work die Work-Life-Balance verbessern kann, jedoch auch Herausforderungen wie Isolation und Kommunikationsprobleme mit sich bringt. Empfehlungen für Unternehmen zur Optimierung von Remote-Work-Strategien werden gegeben.",5,f79134244956e35b66002220b5f46f74051fffc5da31b243611709557ef14b28,"[0.21422863588263766, 0.001400296048891844, -0.033883820677787564, -0.01982901386321176, -0.07122796121487038, -0.023017105537953848, 0.010784263780357765, 0.04392275176524964, -0.05403954566961486, 0.0447345255972332, 0.02753542761288102, 0.04119067630503702, -0.011589516500579908, -0.01143557019118543, -0.031004436453407086, 0.0036730708454715526, 0.072021300426176, -0.0439456160010203, 0.06834678177904835, -0.0978920543305215, -0.013597929180298885, -0.11359166542681275, -0.11861921538368496, -0.03168788457172688, -0.17943982959582142]"
Künstliche Intelligenz,Künstliche Intelligenz in der Medizin: Chancen und Risiken,"Diese Bachelorarbeit untersucht die Anwendungsmöglichkeiten und Risiken von künstlicher Intelligenz (KI) in der Medizin. Durch eine umfassende Literaturrecherche und Fallstudien werden verschiedene Einsatzbereiche wie Diagnoseunterstützung, Behandlungsplanung und personalisierte Medizin analysiert. Die Arbeit zeigt, dass KI das Potenzial hat, die medizinische Versorgung zu revolutionieren, indem sie präzisere Diagnosen und e izientere Behandlungen ermöglicht. Gleichzeitig werden ethische und datenschutzrechtliche Herausforderungen diskutiert. Abschließend werden Empfehlungen für die Integration von KI in die medizinische Praxis unter Berücksichtigung der Sicherheits- und Ethikstandards gegeben.",6,1311251fc6d1a89d0a3547027876df192c29ed958d998812d6ccf0c43e14c762,"[0.3194768125827438, -0.10320021551581007, -0.11316291459315063, 0.056640837282932906, 0.07486080224176664, -0.08533147143285787, 0.06446275186142783, 0.08970493844298733, -0.13786265431478295, -0.008925441416396103, 0.0707967889175971, -0.08654377755130335, 0.12286258658008642, 0.02564794573706974, -0.06786852143946948, -0.15729539384998326, 0.023736998413214097, -0.03393197553748978, -0.027511773396953078, -0.030693079800618982, 0.0444133562084989, -0.08501855708562674, -0.02760194970842913, 0.008323944291552293, -0.039083319879187485]"
Künstliche Intelligenz,Automatisierung und die Zukunft der Arbeit,"Diese Arbeit befasst sich mit der Automatisierung und ihren Auswirkungen auf die Arbeitswelt der Zukunft. Durch den Einsatz von Robotern und KI-Systemen verändern sich Arbeitsprozesse und Anforderungen an Mitarbeiter. Anhand von Literaturrecherchen und Fallstudien wird analysiert, welche Berufe und Branchen besonders von der Automatisierung betro en sind und welche neuen Möglichkeiten entstehen. Es wird diskutiert, wie Bildung und Weiterbildung an die veränderten Anforderungen angepasst werden können, um die    Beschäftigungsfähigkeit der Arbeitskräfte zu sichern. Die Arbeit schließt mit politischen und wirtschaftlichen Handlungsempfehlungen.",7,fca634340d4b2a3d84a668ac837da21803c0d2f6efff2683dfea51dc17a9feff,"[0.3799968159972106, -0.0720408177217569, -0.19366882609117309, 0.02710419555518357, -0.12169991614131814, -0.11431755773271873, -0.030293658355970213, -0.03169899843904023, 0.014171384360249537, -0.19753546017240553, 0.11639312015498224, 0.22381667417454118, 0.4810090146294849, 0.041795093918528634, 0.09267839840473507, -0.0901141342996066, 0.02198402386528204, 0.0780036338953714, -0.02296668568879528, 0.02145260769124423, 0.15584250892675258, 0.18293400541060323, -0.13590303450667837, -0.05178565783381776, 0.07739017449224356]"
Künstliche Intelligenz,Einsatz von Chatbots im Kundenservice,"Diese Bachelorarbeit untersucht den Einsatz von Chatbots im Kundenservice und deren Auswirkungen auf die Kundenzufriedenheit. Durch eine Kombination aus Literaturrecherche und empirischen Studien wird gezeigt, wie Chatbots zur E izienzsteigerung und Kostensenkung im Kundenservice beitragen können. Es wird analysiert, inwieweit Chatbots in der Lage sind, menschliche Mitarbeiter zu ersetzen und welche Grenzen und Herausforderungen dabei bestehen. Die Ergebnisse deuten darauf hin, dass Chatbots eine wertvolle Ergänzung im Kundenservice darstellen, insbesondere für einfache und häufige Anfragen. Abschließend werden Empfehlungen für die Implementierung und Optimierung von Chatbot-Lösungen gegeben.",5,68dfe4bbc97ea42d1937cdfc06d72db16e0f20efda5ca5237fca6d5e87536c18,"[0.28575963161607365, -0.01630509621718786, -0.031972742925628135, -0.004887727246702402, -0.01589723864198187, -0.0050430880280206754, -0.01357444826428501, -0.0039037773582628736, -0.02336224017737173, 0.014299663347855021, 0.06846391772492955, 0.015001077191608592, 0.043396590423512314, 0.03245644406503453, -0.03565684640306406, -0.05493537636657206, 0.03660713334007777, 0.057893417465512284, -0.014008045535308402, -0.02803649237990345, -0.06380907753321123, 0.028780163214612523, 0.08726399281385211, -0.04747264651994855, 0.025461073269038112]"
IT-Sicherheit,Cybersecurity in kleinen und mittleren Unternehmen,"Diese Arbeit beleuchtet die Herausforderungen und Lösungsansätze der Cybersecurity in kleinen und mittleren Unternehmen (KMU). Anhand von Literaturrecherchen und Fallstudien wird gezeigt, dass KMU besonders anfällig für Cyberangri e sind, da ihnen oft die Ressourcen und das Know-how für umfassende Sicherheitsmaßnahmen fehlen. Die Arbeit analysiert typische Bedrohungen und stellt praxisnahe Maßnahmen zur Verbesserung der IT- Sicherheit vor, darunter Schulungen, technische Schutzmaßnahmen und organisatorische Strategien. Abschließend werden Handlungsempfehlungen für KMU gegeben, um ihre Widerstandsfähigkeit gegenüber Cyberangri en zu erhöhen.",5,5c22837b96ae56614ab85ecb36a9808c773cade64238ac294791bb6070cf6401,"[0.2869941432742106, -0.08312411646903729, 0.03637762073526502, 0.03256687589651662, -0.11251246484401953, -0.053745112353804664, 0.01696857852839222, -0.06376448346542772, -0.06773560525349924, -0.08115202228762085, 0.50810583132747, 0.1986099134715765, 0.05134429680252723, -0.2834372231768625, 0.2672198000459133, 0.18016572970354774, -0.27175954968283705, 0.02225820149567138, -0.10714743233308262, 0.2160834861314709, -0.2767237598852696, -0.11405601426668416, -0.15423908323600247, 0.0789221052686037, 0.08272016296080334]"
